kol,rejim,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK_2020_04_2022_12,2021-11-01,son12_ortalama,2022-02-01,-46.08443020014799,-0.249207129458649
T0,SOK_2020_04_2022_12,2021-12-01,SeasonalNaive,2022-03-01,-55.67118866070032,-26.66389373658552
T0,SOK_2020_04_2022_12,2021-12-01,RecursiveTabular,2022-03-01,-55.67118866070032,-22.064624786376953
T0,SOK_2020_04_2022_12,2021-12-01,DirectTabular,2022-03-01,-55.67118866070032,-1.1465709209442139
T0,SOK_2020_04_2022_12,2021-12-01,ETS,2022-03-01,-55.67118866070032,24.40677276645862
T0,SOK_2020_04_2022_12,2021-12-01,Theta,2022-03-01,-55.67118866070032,21.009693145751953
T0,SOK_2020_04_2022_12,2021-12-01,Chronos2,2022-03-01,-55.67118866070032,7.45390510559082
T0,SOK_2020_04_2022_12,2021-12-01,Toto2,2022-03-01,-55.67118866070032,13.656526565551758
T0,SOK_2020_04_2022_12,2021-12-01,WeightedEnsemble,2022-03-01,-55.67118866070032,24.40677276645862
T0,SOK_2020_04_2022_12,2021-12-01,sifir,2022-03-01,-55.67118866070032,0.0
T0,SOK_2020_04_2022_12,2021-12-01,son12_ortalama,2022-03-01,-55.67118866070032,4.643901966635681
T0,SOK_2020_04_2022_12,2022-01-01,SeasonalNaive,2022-04-01,-15.512275188419933,6.380031107179807
T0,SOK_2020_04_2022_12,2022-01-01,RecursiveTabular,2022-04-01,-15.512275188419933,10.469888687133789
T0,SOK_2020_04_2022_12,2022-01-01,DirectTabular,2022-04-01,-15.512275188419933,-0.733671247959137
T0,SOK_2020_04_2022_12,2022-01-01,ETS,2022-04-01,-15.512275188419933,-2.719498082792459
T0,SOK_2020_04_2022_12,2022-01-01,Theta,2022-04-01,-15.512275188419933,-6.05765438079834
T0,SOK_2020_04_2022_12,2022-01-01,Chronos2,2022-04-01,-15.512275188419933,-14.729545593261719
T0,SOK_2020_04_2022_12,2022-01-01,Toto2,2022-04-01,-15.512275188419933,-31.809415817260742
T0,SOK_2020_04_2022_12,2022-01-01,WeightedEnsemble,2022-04-01,-15.512275188419933,-30.16316319373717
T0,SOK_2020_04_2022_12,2022-01-01,sifir,2022-04-01,-15.512275188419933,0.0
T0,SOK_2020_04_2022_12,2022-01-01,son12_ortalama,2022-04-01,-15.512275188419933,8.606507752496029
T0,SOK_2020_04_2022_12,2022-02-01,SeasonalNaive,2022-05-01,32.47792386830969,18.675919162484007
T0,SOK_2020_04_2022_12,2022-02-01,RecursiveTabular,2022-05-01,32.47792386830969,20.264602661132812
T0,SOK_2020_04_2022_12,2022-02-01,DirectTabular,2022-05-01,32.47792386830969,0.0879737138748169
T0,SOK_2020_04_2022_12,2022-02-01,ETS,2022-05-01,32.47792386830969,-46.08009370693625
T0,SOK_2020_04_2022_12,2022-02-01,Theta,2022-05-01,32.47792386830969,-49.815223693847656
T0,SOK_2020_04_2022_12,2022-02-01,Chronos2,2022-05-01,32.47792386830969,-27.115718841552734
T0,SOK_2020_04_2022_12,2022-02-01,Toto2,2022-05-01,32.47792386830969,-34.205604553222656
T0,SOK_2020_04_2022_12,2022-02-01,WeightedEnsemble,2022-05-01,32.47792386830969,-18.75427334220518
T0,SOK_2020_04_2022_12,2022-02-01,sifir,2022-05-01,32.47792386830969,0.0
T0,SOK_2020_04_2022_12,2022-02-01,son12_ortalama,2022-05-01,32.47792386830969,9.449532729453827
T0,SOK_2020_04_2022_12,2022-03-01,SeasonalNaive,2022-06-01,52.30539754816378,18.676333909135213
T0,SOK_2020_04_2022_12,2022-03-01,RecursiveTabular,2022-06-01,52.30539754816378,17.15736198425293
T0,SOK_2020_04_2022_12,2022-03-01,DirectTabular,2022-06-01,52.30539754816378,8.305160522460938
T0,SOK_2020_04_2022_12,2022-03-01,ETS,2022-06-01,52.30539754816378,-55.67022955120494
T0,SOK_2020_04_2022_12,2022-03-01,Theta,2022-06-01,52.30539754816378,-59.948448181152344
T0,SOK_2020_04_2022_12,2022-03-01,Chronos2,2022-06-01,52.30539754816378,-16.815488815307617
T0,SOK_2020_04_2022_12,2022-03-01,Toto2,2022-06-01,52.30539754816378,-3.2798216342926025
T0,SOK_2020_04_2022_12,2022-03-01,WeightedEnsemble,2022-06-01,52.30539754816378,11.799277829721877
T0,SOK_2020_04_2022_12,2022-03-01,sifir,2022-06-01,52.30539754816378,0.0
T0,SOK_2020_04_2022_12,2022-03-01,son12_ortalama,2022-06-01,52.30539754816378,7.03225815244426
T0,SOK_2020_04_2022_12,2022-04-01,SeasonalNaive,2022-07-01,20.249653394811894,13.4745169990887
