kol,blok,origin,model,hedef_ay,y_true,y_pred_q50
T1,SELECT,2023-05-01,Theta,2023-08-01,-25.38770344207784,9.828056335449219
T1,SELECT,2023-05-01,Chronos2,2023-08-01,-25.38770344207784,0.2075819969177246
T1,SELECT,2023-05-01,Toto2,2023-08-01,-25.38770344207784,16.88083839416504
T1,SELECT,2023-05-01,WeightedEnsemble,2023-08-01,-25.38770344207784,10.14035580260107
T1,SELECT,2023-05-01,sifir,2023-08-01,-25.38770344207784,0.0
T1,SELECT,2023-05-01,son12_ortalama,2023-08-01,-25.38770344207784,7.898724431090844
T1,SELECT,2023-06-01,SeasonalNaive,2023-09-01,-24.761168053465592,-36.240939917040905
T1,SELECT,2023-06-01,RecursiveTabular,2023-09-01,-24.761168053465592,-51.77613830566406
T1,SELECT,2023-06-01,DirectTabular,2023-09-01,-24.761168053465592,14.748507499694824
T1,SELECT,2023-06-01,ETS,2023-09-01,-24.761168053465592,8.2877580417023
T1,SELECT,2023-06-01,Theta,2023-09-01,-24.761168053465592,4.23517370223999
T1,SELECT,2023-06-01,Chronos2,2023-09-01,-24.761168053465592,-1.014045000076294
T1,SELECT,2023-06-01,Toto2,2023-09-01,-24.761168053465592,-4.607693672180176
T1,SELECT,2023-06-01,WeightedEnsemble,2023-09-01,-24.761168053465592,-4.6156324629216625
T1,SELECT,2023-06-01,sifir,2023-09-01,-24.761168053465592,0.0
T1,SELECT,2023-06-01,son12_ortalama,2023-09-01,-24.761168053465592,4.230539102240708
T1,SELECT,2023-07-01,SeasonalNaive,2023-10-01,-24.937052677846825,-21.96055258675911
T1,SELECT,2023-07-01,RecursiveTabular,2023-10-01,-24.937052677846825,-26.883373260498047
T1,SELECT,2023-07-01,DirectTabular,2023-10-01,-24.937052677846825,2.7286336421966553
T1,SELECT,2023-07-01,ETS,2023-10-01,-24.937052677846825,-2.7509344725793774
T1,SELECT,2023-07-01,Theta,2023-10-01,-24.937052677846825,-6.762137413024902
T1,SELECT,2023-07-01,Chronos2,2023-10-01,-24.937052677846825,-10.819138526916504
T1,SELECT,2023-07-01,Toto2,2023-10-01,-24.937052677846825,-6.923853397369385
